ID;Life Cycle Stage;Activity;Release to Air - Worst case (Guidenano);Release to air (ART);Ponderation;Related to input/output;Percentage related to
1;Life cycle stage 1: Synthesis;Flame pyrolysis;5%;4.00%;0.04;output;Total endproduct (nanomaterials) emitted to air during the process
2;Life cycle stage 1: Synthesis;Mechanical methods;5%;5.00%;0.05;output;Total endproduct (nanomaterials) emitted to air during the process
3;Life cycle stage 1: Synthesis;Wet chemistry;5%;2.00%;0.02;output;Total endproduct (nanomaterials) emitted to air during the process
4;Life cycle stage 1: Synthesis;Chemical vapor condensation;5%;0.05%;0.05;output;Total endproduct (nanomaterials) emitted to air during the process
5;Life cycle stage 1: Synthesis;Laser ablation;5%;na;0.05;output;Total endproduct (nanomaterials) emitted to air during the process
6;Life cycle stage 1: Synthesis;Reactive Sintering;5%;na;0.05;output;Total endproduct (nanomaterials) emitted to air during the process
7;Life cycle stage 2: Handling and transfer of powdered or granulated material. These activities can take place either during synthesis (life cycle stage 1) or manufacturing of nano-enabled products;Use at industrial site leading to inclusion into/onto article;50%;10.00%;0.1;input;percentage of the nanomaterial from the input released to air
8;Life cycle stage 2: Handling and transfer of powdered or granulated material. These activities can take place either during synthesis (life cycle stage 1) or manufacturing of nano-enabled products;Fabric manufacturing by dip-pad dry / exhaustion processes;0.05%;0.30%;0.003;neither;percentage of nanomaterials released to air from the bath where nanomaterials are dispersed.
9;Life cycle stage 2: Handling and transfer of powdered or granulated material. These activities can take place either during synthesis (life cycle stage 1) or manufacturing of nano-enabled products;Cosmetic manufacturing process;30.00%;10.00%;0.1;input;percentage of the nanomaterial from the input released to air
10;Life cycle stage 2: Handling and transfer of powdered or granulated material. These activities can take place either during synthesis (life cycle stage 1) or manufacturing of nano-enabled products;Hammering;2.50%;2.50%;0.025;output;Percentage is related to the amount of nanomaterials released from the treated surface
11;Life cycle stage 2: Handling and transfer of powdered or granulated material. These activities can take place either during synthesis (life cycle stage 1) or manufacturing of nano-enabled products;Nailing;2.50%;0.85%;0.0085;output;Percentage is related to the amount of nanomaterials released from the treated surface
12;Life cycle stage 2: Handling and transfer of powdered or granulated material. These activities can take place either during synthesis (life cycle stage 1) or manufacturing of nano-enabled products;Piling;2.50%;0.85%;0.0085;output;Percentage is related to the amount of nanomaterials released from the treated surface
13;Life cycle stage 2: Handling and transfer of powdered or granulated material. These activities can take place either during synthesis (life cycle stage 1) or manufacturing of nano-enabled products;punching;2.50%;2.50%;0.025;output;Percentage is related to the amount of nanomaterials released from the treated surface
14;Life cycle stage 2: Handling and transfer of powdered or granulated material. These activities can take place either during synthesis (life cycle stage 1) or manufacturing of nano-enabled products;Gouging;2.50%;0.85%;0.0085;output;Percentage is related to the amount of nanomaterials released from the treated surface
15;Life cycle stage 2: Handling and transfer of powdered or granulated material. These activities can take place either during synthesis (life cycle stage 1) or manufacturing of nano-enabled products;Tuck pointing;2.50%;0.85%;0.0085;output;Percentage is related to the amount of nanomaterials released from the treated surface
